Date,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
01/01,"1,366.00","1,346.00","1,469.00","1,408.00","1,527.00","1,561.00","1,653.00","1,686.00","1,602.00","1,668.00","1,743.00","1,830.00","1,816.00","1,674.00","1,634.00","1,524.00","1,516.00","1,543.00","1,465.00","1,454.00","1,361.00","1,337.00","1,496.00","1,530.00","1,586.00","1,657.00","1,505.00","1,529.00"
02/01,"1,383.00","1,310.00","1,812.00","1,853.00","1,829.00","1,524.00","1,648.00","1,889.00","2,018.00","1,985.00","1,699.00","1,754.00","1,811.00","1,933.00","2,043.00","1,840.00","1,453.00","1,438.00","1,765.00","1,619.00","1,519.00","1,669.00","1,382.00","1,503.00","1,817.00","1,809.00","1,767.00","1,425.00"
03/01,"1,392.00","1,319.00","1,807.00","1,903.00","1,953.00","1,944.00","1,570.00","1,667.00","2,077.00","2,137.00","2,164.00","1,797.00","1,683.00","1,595.00","2,060.00","1,952.00","1,757.00","1,452.00","1,565.00","1,881.00","1,784.00","1,796.00","1,526.00","1,495.00","1,651.00","2,005.00","1,825.00","1,703.00"
04/01,"1,755.00","1,574.00","1,514.00","1,898.00","1,932.00","1,924.00","2,002.00","1,636.00","1,732.00","2,056.00","2,115.00","2,029.00","2,034.00","1,655.00","2,177.00","1,964.00","1,854.00","1,774.00","1,473.00","1,502.00","1,776.00","1,832.00","1,818.00","1,797.00","1,561.00","1,742.00","1,913.00","1,883.00"
05/01,"1,749.00","1,640.00","1,473.00","1,556.00","1,932.00","1,936.00","1,982.00","1,970.00","1,621.00","1,760.00","2,117.00","2,112.00","2,126.00","2,006.00","1,866.00","1,949.00","1,820.00","1,852.00","1,769.00","1,372.00","1,473.00","1,838.00","1,836.00","1,859.00","1,871.00","1,462.00","1,888.00","1,890.00"
06/01,"1,762.00","1,649.00","1,781.00","1,527.00","1,730.00","1,909.00","2,064.00","1,997.00","1,970.00","1,698.00","2,155.00","2,112.00","2,027.00","1,906.00","1,670.00","1,730.00","1,818.00","1,810.00","1,879.00","1,656.00","1,308.00","1,570.00","1,820.00","1,827.00","1,813.00","1,899.00","1,631.00","2,047.00"
07/01,"1,773.00","1,668.00","1,850.00","1,874.00","1,566.00","1,627.00","2,044.00","1,963.00","2,001.00","1,896.00","1,800.00","2,156.00","2,031.00","1,958.00","1,966.00","1,526.00","1,588.00","1,950.00","1,777.00","1,668.00","1,681.00","1,359.00","1,857.00","1,820.00","1,821.00","1,898.00","1,459.00","1,605.00"
08/01,"1,388.00","1,678.00","1,828.00","1,739.00","1,830.00","1,548.00","2,043.00","2,034.00","1,946.00","1,975.00","1,689.00","1,801.00","2,100.00","1,923.00","2,064.00","1,876.00","1,464.00","1,612.00","1,786.00","1,750.00","1,676.00","1,596.00","1,531.00","1,737.00","1,888.00","1,924.00","1,863.00","1,466.00"
09/01,"1,398.00","1,395.00","1,848.00","1,790.00","1,921.00","1,860.00","1,672.00","1,956.00","1,959.00","1,982.00","2,070.00","1,742.00","1,774.00","1,981.00","1,979.00","1,949.00","1,750.00","1,496.00","1,859.00","1,644.00","1,674.00","1,703.00","1,406.00","1,470.00","1,855.00","1,868.00","1,827.00","1,718.00"
10/01,"1,734.00","1,354.00","1,858.00","1,812.00","1,860.00","1,920.00","1,607.00","1,760.00","1,939.00","2,034.00","2,031.00","2,006.00","1,700.00","1,617.00","2,121.00","1,868.00","1,690.00","1,728.00","1,463.00","1,663.00","1,725.00","1,781.00","1,704.00","1,425.00","1,547.00","1,934.00","1,814.00","1,816.00"
